#{"t_start": 1640864053.790724, "env_id": "Hopper-v3"}
r,l,t
9.470405,13,9.375475
19.754965,26,9.385856
11.628058,16,9.392255
10.044296,15,9.398794
12.498193,17,9.405676
5.248572,10,9.409795
9.109322,18,9.417087
11.563123,30,9.4295
21.188805,21,9.43789
6.357626,11,9.4422
14.866235,20,9.450168
12.930684,16,9.456854
5.689434,17,9.463814
8.291977,17,9.470743
20.220079,21,9.479128
6.9453,11,9.483829
8.788212,13,9.488871
14.528071,21,9.497568
10.77041,14,9.503364
11.000879,14,9.509138
22.452278,21,9.517583
23.347665,22,9.526541
7.456121,16,9.532872
15.412627,19,9.540782
9.104281,24,9.55045
19.843958,26,9.560776
9.859801,17,9.567529
12.136525,19,9.575481
9.560977,13,9.580618
9.34667,12,9.585355
10.158437,13,9.590542
26.180705,33,9.604098
16.15728,33,9.61755
13.955287,18,9.624935
16.70797,18,9.632088
7.059864,11,9.636709
24.297303,21,9.645219
11.049633,15,9.651262
10.535871,13,9.656274
28.940633,30,9.66851
13.027705,16,9.674935
9.542633,12,9.679702
8.204235,12,9.684484
7.537427,12,9.689523
31.584629,31,9.701862
16.297047,19,9.709429
8.406163,37,9.724044
12.649643,29,10.139275
8.323934,10,10.23727
18.229807,34,10.567209
8.93532,11,10.673281
11.908739,13,10.800814
9.687884,14,10.947269
13.361155,32,11.261618
4.506985,14,11.395603
13.649683,16,11.550874
8.64616,29,11.829066
26.458026,29,12.11185
9.427506,11,12.216959
8.596422,14,12.351385
23.241356,24,12.579471
50.979873,43,12.989042
16.77728,18,13.165244
25.116495,29,13.442368
9.169733,11,13.547428
50.266927,38,13.909747
56.473107,84,14.713814
72.155575,50,15.195957
43.81461,64,15.809568
58.959138,35,16.142687
4.387555,27,16.400171
70.354292,42,16.801151
173.765956,100,17.765052
8.554792,36,18.108389
75.681026,51,18.593436
153.181429,113,19.684376
73.91536,44,20.108904
53.121834,32,20.417795
73.871599,48,20.876425
135.655105,109,21.928163
76.388408,45,22.360367
117.640861,80,23.122982
111.235667,64,23.736702
156.523585,80,24.500281
64.886965,39,24.871474
58.458762,35,25.206026
139.832818,73,25.90073
96.71907,57,26.442166
47.097576,28,26.709422
78.27526,47,27.160753
108.382037,61,27.744593
96.650416,54,28.259054
75.317576,44,28.681074
194.488314,100,29.640704
197.112041,93,30.534477
174.237117,86,31.359359
216.489178,100,32.31508
199.924659,93,33.204863
185.502996,93,34.109024
166.63535,88,34.959232
155.049827,80,35.737579
162.841272,83,36.537343
176.409484,87,37.361655
210.44501,96,38.272772
181.304065,91,39.137881
176.941402,88,39.983132
223.315397,101,40.95384
185.347652,92,41.82896
192.395785,94,42.721112
223.356538,100,43.68043
212.366524,98,44.612424
214.730668,97,45.532638
226.356306,99,46.47479
225.381589,103,47.456862
202.556223,96,48.380264
222.668268,97,49.307495
229.039383,100,50.267265
200.548868,94,51.171024
236.172005,103,52.155294
230.376054,102,53.129113
234.818874,102,54.10146
224.46666,99,55.043367
221.503981,100,55.994665
236.328243,103,56.97437
217.654747,96,57.893849
243.709312,105,58.895277
264.474735,115,60.001277
252.638435,108,61.044988
227.577639,99,61.984844
255.648451,109,63.0218
238.854238,102,63.991807
239.949396,103,64.970205
148.015952,80,65.729689
253.462504,110,66.778128
261.385874,113,67.862081
186.429672,105,68.866211
181.935673,90,69.723364
240.66062,120,70.871771
207.711592,122,72.04175
246.7539,129,73.262326
156.836591,88,74.10015
171.918788,95,75.005746
266.692508,123,76.171032
222.255188,117,77.279986
268.086429,134,78.557864
250.717218,160,80.092767
257.705797,144,81.472054
231.817123,117,82.589927
207.761266,119,83.720708
238.084259,143,85.081692
223.780487,120,86.22241
255.582888,131,87.474627
203.053003,106,88.483681
259.235057,148,89.917573
126.56793,73,90.643394
249.97615,126,91.844298
251.018528,115,92.932297
249.968093,113,94.002708
260.577721,114,95.097978
252.459837,117,96.224614
251.907833,114,97.314902
246.277935,110,98.378755
234.171391,106,99.406801
238.435194,106,100.433951
226.584523,99,101.391698
223.335352,101,102.365386
233.118949,103,103.342695
228.166731,104,104.327171
223.289788,101,105.282159
219.039093,99,106.672126
211.033584,96,107.580942
199.23008,91,108.443376
206.221583,96,109.352174
251.308116,109,110.422674
243.710322,105,111.44349
246.109473,108,112.487673
235.065968,102,113.473573
252.19987,114,114.579704
241.660419,105,115.597584
228.360241,100,116.561869
257.582219,112,117.627624
206.591379,91,118.490056
241.768614,108,119.515093
230.488442,104,120.507585
248.655611,110,121.564255
207.260986,108,122.604202
233.948314,109,123.640522
171.399919,86,124.460579
226.064321,110,125.510233
201.627618,106,126.520484
225.529122,102,127.491296
219.621481,117,128.603601
202.405835,104,129.592589
244.24376,108,130.636046
235.342408,111,131.696218
234.609464,109,132.734863
242.227101,124,133.915072
137.370533,75,134.632181
238.576601,107,135.648776
228.935223,121,136.799821
247.275889,128,138.015277
256.288809,120,139.164006
198.263273,101,140.142997
200.038827,103,141.146754
228.793866,116,142.251184
245.898984,108,143.276895
186.342093,97,144.199893
172.387041,95,145.119894
154.856724,81,145.905222
232.183082,101,146.890674
135.156169,76,147.634387
236.334675,130,148.899568
240.986797,136,150.218556
258.18737,117,151.345509
128.360892,72,152.027355
251.833244,113,153.097224
250.471345,113,154.173752
155.822421,92,155.051856
237.572394,108,156.09421
151.422352,79,156.850226
227.114389,101,157.812142
235.383015,108,158.835524
254.259943,124,160.024464
179.370589,97,160.956989
263.455553,135,162.235548
153.110805,78,162.976637
172.096517,96,163.885744
283.038597,137,165.180632
281.840074,139,166.501221
234.899811,131,167.744849
285.056622,143,169.100943
230.609243,125,170.301652
280.868789,137,171.606136
270.834177,126,172.797564
253.94809,147,174.187593
272.98617,130,175.421656
270.766797,129,176.640751
237.711702,133,177.898916
279.620864,136,179.189138
300.985373,152,180.662744
280.702713,143,182.026537
238.512218,102,182.992968
255.533303,118,184.11521
166.948702,83,184.901406
267.175749,120,186.045679
229.66396,101,187.018405
230.834892,105,188.026019
258.201578,127,189.245903
274.152482,120,190.426368
280.965793,128,191.654211
262.884462,120,192.794345
260.30712,110,193.838637
267.243391,123,195.004103
267.337508,118,196.129847
256.939943,116,197.231012
208.493196,93,198.112537
264.896885,115,199.212384
266.63746,116,200.32817
297.409153,130,201.571589
286.816652,129,203.356482
277.493822,123,204.526426
244.212097,119,205.655902
270.559661,128,206.870887
276.775598,119,208.008351
289.297772,129,209.23142
286.694087,128,210.471579
289.578714,133,211.747877
294.020038,136,213.033969
260.104297,136,214.331054
306.903494,135,215.632717
274.429419,125,216.810636
302.452576,139,218.122207
275.736091,122,219.278996
284.481053,132,220.553785
275.147101,129,221.787541
294.733301,129,223.009147
295.215065,143,224.366211
313.333309,146,225.747743
328.311811,159,227.256288
316.268232,159,228.774685
300.463196,139,230.105129
312.581745,144,231.489577
307.04701,144,232.855007
351.860388,181,234.577603
304.743078,140,235.916426
318.941592,161,237.445612
343.759577,181,239.166799
319.927417,153,240.633051
313.983511,166,242.215497
343.889575,183,243.961399
319.112371,168,245.558706
324.614641,169,247.165514
348.335367,181,248.889077
300.956438,137,250.200489
369.653934,189,252.005246
330.852862,162,253.545147
323.561092,163,255.100789
326.654481,154,256.567451
335.923976,169,258.175113
331.915651,165,259.757222
87.942887,56,260.302503
349.650911,188,262.102731
309.084822,146,263.497645
290.162511,135,264.784226
353.276772,187,266.583736
292.178603,138,267.902572
342.463918,170,269.524637
384.959355,196,271.416144
354.514851,193,273.251901
365.422361,184,275.010143
350.575406,184,276.761526
320.560512,160,278.285546
287.166364,126,279.482935
304.599033,146,280.882458
317.044344,143,282.243138
367.980583,191,284.062985
317.195539,159,285.574109
328.458359,146,286.964637
271.73268,123,288.139528
293.847309,139,289.471107
275.815509,132,290.771211
287.328302,130,292.019986
318.608354,145,293.399297
263.003648,112,294.464087
304.362309,143,295.828796
271.940586,125,297.017501
306.093413,140,299.023472
279.514362,140,300.384618
323.952386,154,301.851566
300.099665,138,303.162497
288.094517,131,304.409133
308.919085,148,305.811883
304.103574,151,307.24375
296.434312,129,308.470369
344.092093,157,309.967262
294.355824,132,311.233623
293.535601,123,312.407659
288.35225,127,313.620218
318.064229,149,315.037229
285.071165,127,316.246462
304.050735,139,317.568315
284.296824,130,318.805203
305.031616,143,320.185455
298.219178,138,321.521018
332.429509,156,323.003101
