#{"t_start": 1642060556.0430968, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
775.0,3928,6066.709674
750.0,3735,6090.275553
200.0,1980,6108.202123
745.0,3477,6120.960685
525.0,3846,6142.83665
775.0,3761,6164.356218
845.0,4198,6190.409223
410.0,2520,6199.538169
520.0,3607,6223.280393
695.0,3158,6235.675911
245.0,1956,6252.155273
390.0,3200,6263.340804
600.0,3558,6285.373869
600.0,3750,6307.243783
540.0,4117,6328.910306
540.0,3480,6342.193435
1090.0,6666,6386.823787
600.0,5172,6417.234582
690.0,2946,6429.144515
780.0,3365,6452.952061
515.0,3814,6476.101467
210.0,1682,6482.499998
495.0,3738,6504.971243
105.0,1052,6508.746452
210.0,2016,6516.14209
395.0,3372,6536.504386
395.0,2874,6557.112002
405.0,3380,6568.825413
755.0,3790,6591.747756
325.0,3160,6613.451564
290.0,2308,6621.783356
525.0,2840,6640.142335
445.0,3262,6651.853877
525.0,3248,6672.727053
430.0,3398,6694.637323
575.0,3779,6707.6877
575.0,3906,6728.566544
540.0,4546,6754.593015
900.0,6144,6783.791785
160.0,1866,6801.831683
315.0,2110,6809.117793
320.0,2916,6829.336838
600.0,4992,6860.292805
475.0,2774,6870.332275
570.0,3557,6893.087126
415.0,2676,6901.905243
800.0,4252,6926.49192
