#{"t_start": 1641322052.056341, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
95.0,1316,982.334694
150.0,2630,984.433011
225.0,3274,987.261049
190.0,2540,989.553398
215.0,3440,993.129197
65.0,1814,994.682798
35.0,1170,995.727762
45.0,1168,996.800293
120.0,1486,998.083734
260.0,2958,1000.615508
255.0,2344,1009.080778
120.0,1864,1010.653244
520.0,3283,1013.577499
80.0,1568,1014.910847
240.0,2244,1017.08409
125.0,1592,1018.527703
140.0,2600,1020.900456
135.0,1828,1022.650328
120.0,1684,1024.290025
175.0,1940,1026.226405
185.0,2856,1028.466033
130.0,1906,1029.986169
65.0,2014,1031.643338
50.0,1120,1032.81331
155.0,1812,1034.281877
120.0,1926,1035.860861
240.0,2580,1037.99696
315.0,3395,1040.752618
150.0,2536,1042.810138
170.0,2750,1051.671886
80.0,1506,1052.928057
190.0,3330,1055.67798
215.0,3026,1058.096763
100.0,1556,1059.729543
190.0,2500,1062.017482
45.0,1614,1063.384911
225.0,2986,1065.964871
65.0,1322,1067.050085
185.0,2218,1068.837382
90.0,1882,1070.410461
315.0,3420,1073.605168
120.0,1908,1075.224629
145.0,2330,1077.27639
110.0,1728,1078.723446
195.0,2462,1080.909555
165.0,2306,1082.971745
215.0,2664,1085.176836
150.0,1670,1095.648391
210.0,1994,1097.816163
155.0,2354,1099.857529
210.0,2564,1101.977116
160.0,2346,1103.951958
50.0,1232,1105.081393
165.0,2392,1107.221984
180.0,2424,1109.164753
335.0,2550,1111.215906
105.0,2052,1112.911818
135.0,2298,1114.809629
145.0,2304,1116.773704
155.0,1986,1118.408759
95.0,1872,1120.043628
275.0,3112,1123.049395
230.0,2158,1124.8789
220.0,2500,1127.370312
155.0,1972,1128.949151
150.0,2004,1136.651929
180.0,2304,1138.727062
165.0,2412,1140.668819
335.0,2672,1142.944045
120.0,1980,1145.275117
85.0,1614,1146.755221
475.0,2386,1148.902451
220.0,2744,1151.179281
550.0,3604,1154.991287
270.0,3564,1158.203989
95.0,2098,1159.941906
185.0,2396,1161.956795
115.0,1594,1163.296843
80.0,1854,1164.811223
210.0,2400,1166.780406
160.0,2390,1168.919603
155.0,2566,1171.42186
190.0,2428,1178.575541
120.0,2136,1180.546857
245.0,2318,1183.316
75.0,2064,1185.026354
80.0,1996,1187.126319
395.0,3412,1190.329791
165.0,1900,1191.889416
165.0,2118,1193.687692
180.0,2496,1195.774505
195.0,2472,1197.825165
115.0,1524,1199.059533
210.0,2190,1201.386743
305.0,3322,1204.428253
195.0,2444,1206.540801
440.0,2302,1209.147801
195.0,2856,1211.610114
195.0,2424,1213.715227
135.0,1996,1215.435678
120.0,2062,1222.60485
90.0,1924,1224.478625
195.0,2162,1226.28288
125.0,2104,1228.037058
130.0,2062,1230.175376
190.0,2676,1232.507615
110.0,2058,1234.202301
265.0,2972,1236.673862
135.0,2358,1238.715673
445.0,3200,1241.327864
135.0,2422,1243.330462
410.0,2472,1245.398282
185.0,2064,1247.179345
340.0,3072,1249.799199
410.0,3062,1252.649979
125.0,2038,1254.405483
20.0,996,1255.228019
360.0,3072,1263.210553
75.0,2282,1265.07897
125.0,2174,1266.903442
45.0,1942,1268.517245
130.0,2588,1270.663643
165.0,2912,1273.752029
110.0,2434,1275.92084
200.0,2742,1278.249085
140.0,1870,1279.990987
340.0,2670,1282.453636
335.0,2396,1284.508475
370.0,3572,1287.520324
165.0,2400,1289.560433
85.0,1380,1291.023208
245.0,2992,1294.403409
260.0,2898,1297.124222
155.0,2360,1304.713164
355.0,2614,1307.074683
80.0,1572,1308.427937
420.0,3676,1312.202881
115.0,1928,1313.833986
45.0,1412,1315.012499
380.0,2238,1317.101326
80.0,1946,1318.701662
110.0,2272,1320.655499
295.0,3704,1324.232684
80.0,1736,1325.740857
185.0,2220,1327.876012
260.0,2894,1331.324276
235.0,2782,1334.149016
135.0,1872,1335.797724
140.0,2344,1337.89544
170.0,2056,1339.954036
180.0,2446,1342.232416
160.0,2530,1351.637868
100.0,1998,1353.378564
110.0,1902,1355.132169
195.0,2358,1357.227851
210.0,2498,1359.381087
120.0,2372,1361.61228
180.0,1424,1362.810029
190.0,2338,1365.397079
220.0,2564,1367.813196
210.0,2440,1369.864105
230.0,2608,1372.736259
375.0,3752,1376.232147
420.0,2552,1378.415365
345.0,2894,1380.906892
120.0,2292,1383.518442
75.0,1560,1384.846218
210.0,2374,1386.842805
175.0,2162,1393.378919
55.0,1496,1394.670797
165.0,2932,1397.27286
160.0,2074,1399.024162
215.0,2420,1401.094877
225.0,2162,1402.977993
320.0,3782,1406.352024
110.0,1998,1408.116994
140.0,1824,1409.719378
255.0,3152,1412.629206
120.0,2336,1414.817054
30.0,1756,1416.447636
290.0,3080,1419.327756
400.0,2794,1421.762678
250.0,2500,1424.391326
60.0,1176,1425.355922
265.0,2538,1427.833413
185.0,2696,1437.411015
380.0,3026,1439.937476
365.0,3602,1443.153406
110.0,2066,1444.854183
235.0,2590,1447.009581
50.0,1248,1448.06367
80.0,2112,1449.912125
605.0,3324,1452.676146
210.0,2366,1454.640359
210.0,3590,1457.753083
390.0,2432,1459.860039
225.0,2722,1462.193487
300.0,2830,1464.725341
330.0,3262,1467.450977
200.0,2442,1469.670033
255.0,2186,1478.237041
285.0,3032,1480.91844
130.0,1954,1482.67335
265.0,3222,1485.748745
175.0,2142,1487.596151
90.0,2134,1489.562093
325.0,2772,1491.860821
440.0,3786,1495.18266
190.0,2608,1497.449005
560.0,4158,1501.209181
240.0,3222,1503.921701
175.0,1962,1505.563331
150.0,2364,1507.59238
425.0,3224,1510.367687
265.0,2256,1512.50206
185.0,2488,1522.507985
115.0,2020,1524.212816
215.0,2368,1526.210466
290.0,3330,1529.135429
70.0,1592,1530.504401
135.0,2376,1532.472138
225.0,3092,1535.207086
255.0,2658,1537.499333
190.0,2706,1539.871308
215.0,1898,1541.611781
50.0,1638,1543.105739
230.0,3352,1546.174678
325.0,3140,1548.908304
145.0,2784,1551.47437
320.0,2874,1554.033704
255.0,2562,1556.225476
300.0,3014,1564.799886
50.0,1732,1566.260326
220.0,2964,1568.820319
230.0,2620,1571.098291
135.0,2304,1573.104439
365.0,3232,1575.876054
90.0,1566,1577.205083
300.0,2764,1579.581398
200.0,3086,1582.161793
215.0,3046,1584.893983
170.0,1900,1586.679756
255.0,3642,1589.832705
140.0,1414,1591.148107
85.0,2062,1593.211065
335.0,3234,1596.040638
460.0,3306,1598.958327
105.0,1854,1607.182739
340.0,2603,1609.64434
35.0,1722,1611.106058
505.0,2800,1613.464221
185.0,2050,1615.206065
265.0,2996,1617.724622
590.0,3890,1621.474513
325.0,2887,1624.046579
280.0,3102,1626.73037
695.0,3708,1630.146505
215.0,2546,1632.537054
565.0,3932,1636.846632
340.0,2868,1639.39546
245.0,3330,1642.571121
255.0,1852,1650.019537
780.0,5044,1654.478171
155.0,2112,1656.420379
205.0,2422,1658.812098
325.0,3158,1661.809096
290.0,3590,1665.184035
235.0,2832,1667.993228
175.0,2168,1669.933252
275.0,2902,1672.560925
365.0,2815,1675.195922
115.0,2324,1677.164227
245.0,3164,1680.214162
185.0,2400,1682.474278
315.0,3064,1685.465732
295.0,3440,1694.461158
90.0,1552,1696.15918
170.0,2902,1698.652138
120.0,1646,1700.08958
405.0,3444,1703.006816
360.0,3330,1705.808492
365.0,3204,1708.501205
50.0,1804,1710.025785
305.0,3008,1712.54561
210.0,2874,1714.968896
370.0,3361,1717.840928
370.0,3738,1720.965799
90.0,1708,1722.518008
335.0,3824,1725.991359
380.0,3852,1735.72652
45.0,1522,1737.082555
115.0,1976,1739.398696
320.0,2704,1741.915344
230.0,2796,1744.40228
540.0,4420,1748.672209
190.0,2432,1751.044785
170.0,2554,1753.31513
320.0,2926,1756.122668
245.0,2900,1758.657033
170.0,2546,1761.027533
305.0,4210,1764.949751
515.0,3954,1768.43897
430.0,4156,1780.593786
335.0,3110,1783.256734
350.0,4516,1787.16529
230.0,3336,1790.046553
415.0,2604,1792.235507
180.0,2806,1795.170694
400.0,3932,1798.868708
555.0,6022,1804.148913
210.0,2396,1806.302228
585.0,5806,1812.036687
345.0,4318,1816.099693
460.0,4330,1831.991763
375.0,3282,1834.809312
625.0,4482,1839.138782
305.0,4509,1843.672415
535.0,4317,1848.443148
85.0,3112,1851.113966
725.0,4614,1855.592969
310.0,3846,1859.086681
305.0,2938,1861.746663
180.0,2894,1864.274139
190.0,2976,1867.602892
310.0,2873,1878.031073
355.0,3676,1881.410087
400.0,2622,1883.832072
540.0,4669,1888.123024
305.0,3640,1891.591491
270.0,3532,1894.902528
530.0,4174,1898.753857
520.0,3984,1902.350609
340.0,3684,1905.801463
270.0,3232,1908.744529
445.0,3836,1912.277985
210.0,2338,1923.606659
505.0,3182,1926.480639
140.0,2408,1928.661608
600.0,2864,1931.53117
345.0,3948,1935.120873
165.0,2614,1937.567362
620.0,4226,1941.483329
380.0,3602,1945.107709
260.0,3202,1948.131089
235.0,4424,1952.172034
210.0,2644,1954.559767
385.0,2442,1956.664291
175.0,2870,1959.152745
360.0,2849,1972.153623
150.0,1998,1973.853025
490.0,4902,1978.008846
545.0,3822,1981.413815
190.0,2938,1984.011964
330.0,3764,1987.231498
285.0,4008,1991.3532
1045.0,4624,1995.778468
315.0,2790,1998.312641
270.0,4042,2003.700225
360.0,3550,2007.13767
505.0,4364,2017.831864
570.0,3348,2020.738371
490.0,3680,2024.452021
195.0,2424,2026.703943
335.0,3048,2029.324113
